School 5 Year Cohort Rates,,Cohort Graduation Rates,,,,,,
SchoolID,School Name,2011,2012,2013,2014,2015,2016,2017
610304,PHOENIX MILITARY HS,72.7%,72.0%,79.1%,81.4%,84.9%,91.5%,92.9%
609679,PROSSER HS,78.5%,82.3%,82.4%,86.6%,83.5%,88.2%,87.6%
610334,RABY HS,72.2%,70.2%,71.3%,71.4%,61.9%,73.4%,67.5%
609682,RICHARDS HS,55.3%,64.4%,64.1%,65.4%,63.7%,71.7%,59.5%
610390,RICKOVER MILITARY HS,61.8%,71.1%,68.4%,75.7%,86.2%,87.6%,88.3%
609707,ROBESON HS,37.3%,37.8%,33.1%,37.7%,47.3%,39.4%,54.9%
609728,ROOSEVELT HS,56.0%,52.3%,56.6%,56.3%,62.9%,66.9%,69.7%
609729,SCHURZ HS,59.1%,60.2%,62.9%,64.6%,62.6%,72.5%,74.3%
609730,SENN HS,39.8%,47.2%,53.4%,54.6%,72.3%,81.3%,85.8%
609692,SIMEON HS,74.9%,73.4%,77.8%,77.4%,83.2%,80.7%,85.2%
610383,SOCIAL JUSTICE HS,67.0%,69.3%,71.3%,69.1%,77.8%,87.5%,77.6%
610543,SOLORIO HS, , , , ,80.1%,80.5%,82.7%
610547,SOUTH SHORE INTL HS, , , , , ,71.0%,86.5%
609745,SOUTHSIDE HS,71.7%,53.2%, ,39.2%,45.9%, , 
610357,SPRY HS,73.7%,87.1%,79.7%,86.7%,83.3%,91.2%,83.6%
609732,STEINMETZ HS,56.4%,58.2%,59.7%,64.1%,67.5%,71.3%,73.9%
609733,SULLIVAN HS,38.8%,44.8%,50.6%,47.7%,58.7%,64.0%,66.1%
609734,TAFT HS,65.4%,70.7%,71.7%,77.4%,80.9%,85.2%,87.2%
610506,TEAM HS, ,66.7%,78.0%,74.2%,71.8%,73.9%,75.9%
609735,TILDEN HS,39.0%,32.1%,52.6%,49.6%,55.3%,50.0%,55.2%
400077,U OF C - WOODLAWN HS,70.4%,68.0%,65.1%,77.8%,69.2%,76.3%,73.1%
400085,UNO - GARCIA HS, , ,75.5%,85.1%,89.5%,84.5%,89.2%
610394,UPLIFT HS,59.5%,69.8%,84.2%,77.6%,80.6%,74.3%,58.4%
400105,URBAN PREP - BRONZEVILLE HS, , , , ,76.1%,82.4%,83.1%
