,,Grd 9-12 Enrollment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP Exams,
,,,,,,
SchoolID,Year,n,n,pct,n,pct
609759,2013,831,167,20.1,3,1.8
609760,2000,707,18,2.5,0,0.0
609760,2001,721,21,2.9,0,0.0
609760,2002,817,21,2.6,1,4.8
609760,2003,843,11,1.3,0,0.0
609760,2004,817,26,3.2,0,0.0
609760,2005,811,53,6.5,4,7.5
609760,2006,668,47,7.0,4,8.5
609760,2007,545,21,3.9,0,0.0
609760,2008,495,41,8.3,6,14.6
609760,2009,500,46,9.2,11,23.9
609760,2010,520,57,11.0,22,38.6
609760,2011,550,64,11.6,10,15.6
609760,2012,532,82,15.4,32,39.0
609760,2013,531,92,17.3,22,23.9
609761,2000,1074,23,2.1,0,0.0
609761,2001,1075,17,1.6,0,0.0
609761,2002,1075,44,4.1,0,0.0
609761,2003,1114,28,2.5,1,3.6
609761,2004,1135,33,2.9,0,0.0
609761,2005,1285,34,2.6,1,2.9
609761,2006,1424,136,9.6,1,0.7
609761,2007,1498,146,9.7,0,0.0
609761,2008,1243,181,14.6,3,1.7
609761,2009,1029,184,17.9,1,0.5
609761,2010,904,158,17.5,0,0.0
609761,2011,747,191,25.6,2,1.0
609761,2012,622,131,21.1,2,1.5
609761,2013,558,97,17.4,2,2.1
609762,2000,1347,16,1.2,0,0.0
609762,2001,1182,15,1.3,0,0.0
609762,2002,1176,15,1.3,1,6.7
609762,2003,1515,33,2.2,0,0.0
609762,2004,1774,19,1.1,0,0.0
609762,2005,1983,89,4.5,0,0.0
609762,2006,1981,138,7.0,0,0.0
609762,2007,1923,215,11.2,4,1.9
609762,2008,1646,127,7.7,0,0.0
609762,2009,1714,113,6.6,0,0.0
609762,2010,1420,126,8.9,5,4.0
609762,2011,1224,143,11.7,7,4.9
609762,2012,1224,227,18.5,5,2.2
609762,2013,1167,184,15.8,3,1.6
609764,2000,1527,59,3.9,27,45.8
609764,2001,1629,104,6.4,52,50.0
609764,2002,1705,129,7.6,64,49.6
609764,2003,1739,95,5.5,27,28.4
609764,2004,1797,98,5.5,29,29.6
609764,2005,1855,125,6.7,48,38.4
609764,2006,1707,153,9.0,54,35.3
609764,2007,1577,178,11.3,39,21.9
609764,2008,1547,207,13.4,42,20.3
609764,2009,1551,227,14.6,54,23.8
609764,2010,1562,375,24.0,3,0.8
609764,2011,1630,456,28.0,58,12.7
609764,2012,1683,464,27.6,65,14.0
609764,2013,1790,486,27.2,72,14.8
609768,2000,382,0,0.0,*,*
609768,2001,423,0,0.0,*,*
609768,2002,546,31,5.7,1,3.2
